name,in_degree,out_degree,pagerank,betweenness,region,trigger,lifespan
Classic Maya,1,0,0.0034138856378632086,0.0,Americas,climate,650
Abbasid Caliphate,2,2,0.0033785492506743587,0.08845208845208845,Middle East,conquest,508
Yuan Dynasty,2,2,0.003249710938519333,0.008517608517608518,East Asia,fragmentation,97
Holy Roman Empire,1,1,0.0031975414217935844,0.0004914004914004914,Europe,fragmentation,844
Ghaznavid Emirate,1,1,0.0031736989114210037,0.0011056511056511057,Middle East,conquest,209
Safavid Empire,1,0,0.0031308243360365267,0.0,Middle East,conquest,235
Maratha Empire,1,2,0.0024807360855996813,0.0,South Asia,conquest,144
Asante Empire,1,1,0.0024807360855996813,0.0,Africa,conquest,201
Kingdom of Benin,1,1,0.0024807360855996813,0.0,Africa,conquest,717
Sokoto Caliphate,1,1,0.0024807360855996813,0.0,Africa,conquest,99
Italian Colonial Empire,1,1,0.0024807360855996813,0.0,Europe,conquest,65
Seljuk Empire,1,2,0.0023441782615130895,0.008763308763308764,Middle East,fragmentation,157
Xixia,1,1,0.0023441782615130895,0.0,East Asia,conquest,189
Pagan Empire,1,1,0.0023441782615130895,0.007698607698607699,South Asia,conquest,448
Kievan Rus,1,1,0.0023441782615130895,0.0,Europe,conquest,358
Mutapa Empire,1,0,0.0022374761618048425,0.0,Africa,economic,330
Kilwa Sultanate,1,0,0.0022374761618048425,0.0,Africa,conquest,613
Kingdom of Kongo,1,0,0.0022374761618048425,0.0,Africa,fragmentation,524
Ilkhanate,1,1,0.0020947589656492385,0.0,Middle East,fragmentation,79
Chola Dynasty,0,1,0.0018453396697853874,0.0,South Asia,fragmentation,431
Indus Valley Civilisation,0,0,0.0018453396697853874,0.0,South Asia,climate,1100
Portuguese Empire,0,4,0.0018453396697853874,0.0,Europe,fragmentation,584
